# name, hy, sz, b, l, hz
moon1,1,6,1,1,0
moon2,0,6,1,1,0
apophis,0,1,2,0,0
kluthu,2,1,3,0,0
venus,0,6,3,3,1
hathor,1,1,3,0,1
merc1,3,6,5,1,0
merc2,0,6,5,1,0
nyx,1,1,2,0,0
badenia,2,2,3,0,0
eich..,3,4,4,0,0
unitas,1,4,4,0,0
kollaa,1,1,4,0,0
vesta,2,6,4,.5,0
minerva,3,3,4,0,0
aegis-m,3,1,4,0,0
davida,2,5,4,0,1
fortuna,2,5,4,0,0
achilles,3,2,5,0,0
flora,1,4,3,0,0
cruithne,1,1,5,0,0
phoebe,4,3,6,0,0
polana,1,2,3,0,0
hygeia,3,5,3,0,0
ceres,4,6,4,.5,0
deimos,2,1,2,0,0
mars1,3,6,3,1,0
mars2,4,6,3,1,0
mars3,4,6,4,1,0
lutitia,3,3,3,0,0
hertha,3,3,3,0,0
khufu,2,1,3,0,0
menoetius,3,2,5,0,0
antenor,2,1,4,0,0
laocoon,3,1,4,0,0
glaukos,3,1,4,0,0
patroclus,3,2,5,0,0
tithonus,2,1,4,0,0
awneas,3,2,5,0,0
# name, hy, sz, b, l, hz
